Date,Open,High,Low,Close,Adj Close,Volume,stock_name
2012-01-03,25.63662338256836,26.459226608276367,25.565092086791992,26.09442138671875,23.779481887817383,4156394,A
2012-01-04,25.858369827270508,26.008583068847656,25.45779609680176,25.88698005676269,23.590436935424805,4651845,A
2012-01-05,25.66523551940918,26.69527816772461,25.5507869720459,26.466381072998047,24.11844253540039,6842651,A
2012-01-06,26.53075790405273,26.866952896118164,26.330472946166992,26.752504348754883,24.37917709350586,4711400,A
2012-01-09,26.90987014770508,27.48211669921875,26.802574157714844,27.45350456237793,25.017990112304688,4429563,A
2012-01-10,27.768239974975582,28.19742584228516,27.61802673339844,27.96852684020996,25.48732566833496,4459620,A
2012-01-11,27.811159133911133,28.111587524414062,27.560800552368164,27.83977127075196,25.3699893951416,3932574,A
2012-01-12,27.99713897705078,28.31187438964844,27.43919944763184,28.26895523071289,25.7611083984375,3973396,A
2012-01-13,27.93991470336914,28.04721069335937,27.539342880249023,27.93991470336914,25.46125602722168,5058383,A
2012-01-17,28.44062805175781,28.89127349853516,28.3977108001709,28.60515022277832,26.067472457885746,5812884,A
2012-01-18,28.612302780151367,29.563661575317383,28.505006790161133,29.52074432373047,26.901836395263672,4432778,A
2012-01-19,29.59227561950684,30.264663696289062,29.406295776367188,29.93562126159668,27.2799129486084,4322336,A
2012-01-20,29.878398895263672,29.97138786315918,29.09871292114257,29.327611923217773,26.7258415222168,5461287,A
2012-01-23,29.24177360534668,29.47782516479492,28.991416931152344,29.327611923217773,26.7258415222168,4743554,A
2012-01-24,29.2703857421875,30.75107383728028,29.18454933166504,30.472103118896484,27.76879501342773,7632661,A
2012-01-25,30.66523551940918,31.623748779296875,30.257511138916016,31.50929832458496,28.713977813720703,6512723,A
2012-01-26,31.666667938232425,32.081546783447266,30.386266708374023,30.5150203704834,27.807910919189453,8088409,A
2012-01-27,30.314735412597656,30.722461700439453,30.23605155944824,30.529327392578125,27.820947647094727,3394344,A
2012-01-30,29.99284744262696,30.89413452148437,29.84263229370117,30.8726749420166,28.13383674621582,4085935,A
2012-01-31,30.99427795410156,31.14449119567871,30.264663696289062,30.379112243652344,27.684064865112305,4697979,A
2012-02-01,30.81545066833496,31.773963928222656,30.736766815185547,31.60944175720215,28.80524635314941,5801700,A
2012-02-02,31.623748779296875,31.831186294555664,31.230329513549805,31.27324676513672,28.49886703491211,3112787,A
2012-02-03,31.75965690612793,32.40343475341797,31.623748779296875,32.38912582397461,29.515758514404297,4875106,A
2012-02-06,32.00286102294922,32.13161849975586,31.69527816772461,31.94563674926757,29.111616134643555,4172611,A
2012-02-07,32.01716613769531,32.103004455566406,31.63090133666992,31.90271759033203,29.07249641418457,3561265,A
2012-02-08,31.9742488861084,32.224605560302734,31.766809463500977,32.167381286621094,29.31368637084961,3033101,A
2012-02-09,32.1888427734375,32.4391975402832,31.68812561035156,32.25321960449219,29.39191055297852,3132918,A
2012-02-10,31.645206451416016,31.666667938232425,31.12303352355957,31.57367706298828,28.77264976501465,3698828,A
2012-02-13,31.96709632873535,31.9742488861084,31.130186080932617,31.35908317565918,28.57709503173828,4791645,A
2012-02-14,31.287553787231445,31.65236091613769,31.00143051147461,31.316165924072266,28.537982940673828,3659405,A
2012-02-15,31.831186294555664,31.831186294555664,31.065807342529297,31.21602249145508,28.44672584533692,3490526,A
2012-02-16,30.75822639465332,31.437768936157227,29.871244430541992,31.351930618286133,28.57056999206543,9901754,A
2012-02-17,31.50214576721192,31.57367706298828,30.7439193725586,30.858369827270508,28.12079620361328,5687344,A
2012-02-21,30.951358795166016,31.03004264831543,30.34334754943848,30.47925567626953,27.77532196044922,3963889,A
2012-02-22,30.436338424682617,30.965665817260746,30.28612327575684,30.557939529418945,27.84702491760254,3457254,A
2012-02-23,30.565092086791992,31.21602249145508,30.40057182312012,31.051502227783203,28.296794891357425,3357017,A
2012-02-24,31.137338638305664,31.466381072998047,30.736766815185547,30.77253150939941,28.04257583618164,4104528,A
2012-02-27,30.5507869720459,31.17310333251953,30.36480712890625,31.008583068847656,28.2576904296875,2871352,A
2012-02-28,31.11587905883789,31.266094207763672,30.89413452148437,31.20886993408203,28.44020271301269,2960545,A
2012-02-29,31.330472946166992,31.68097305297852,31.03004264831543,31.201717376708984,28.43368911743164,4183655,A
2012-03-01,31.287553787231445,31.67382049560547,31.11587905883789,31.58798217773437,28.78568649291992,3324863,A
2012-03-02,31.59513664245605,31.75965690612793,31.072961807250977,31.27324676513672,28.49886703491211,2975783,A
2012-03-05,31.18741035461425,31.266094207763672,30.436338424682617,30.60085868835449,27.886133193969727,4990860,A
2012-03-06,30.25035858154297,30.42203140258789,29.964235305786133,30.24320411682129,27.560209274291992,5251587,A
2012-03-07,30.379112243652344,31.23748207092285,30.27897071838379,31.087268829345703,28.329389572143555,4884612,A
2012-03-08,31.402002334594727,31.91702461242676,30.8726749420166,31.67382049560547,28.863908767700195,5349028,A
2012-03-09,31.645206451416016,32.238914489746094,31.645206451416016,31.866952896118164,29.039907455444336,4278579,A
2012-03-12,31.78826904296875,31.94563674926757,31.03004264831543,31.201717376708984,28.43368911743164,3690580,A
2012-03-13,31.44492149353028,32.31044387817383,31.30186080932617,32.26752471923828,29.40493965148925,3270901,A
2012-03-14,32.28898239135742,32.353363037109375,31.94563674926757,32.167381286621094,29.31368637084961,3831499,A
2012-03-15,32.260372161865234,32.846923828125,32.081546783447266,32.80400466918945,29.89383125305176,2972148,A
2012-03-16,32.85407638549805,32.90414810180664,32.4391975402832,32.63233184814453,29.73739051818848,3186601,A
2012-03-19,32.5107307434082,32.68955612182617,32.30329132080078,32.44635009765625,29.56789970397949,3337445,A
2012-03-20,32.25321960449219,32.296138763427734,31.831186294555664,32.067237854003906,29.2224235534668,2416723,A
2012-03-21,32.11015701293945,32.27467727661133,31.75965690612793,31.988555908203125,29.15072250366211,2198495,A
2012-03-22,31.466381072998047,31.466381072998047,30.91559410095215,31.266094207763672,28.492355346679688,4339112,A
2012-03-23,31.165950775146484,31.68812561035156,30.865522384643555,31.68812561035156,28.8769474029541,4710421,A
2012-03-26,32.09585189819336,32.27467727661133,31.924177169799805,32.224605560302734,29.36582946777344,4847006,A
2012-03-27,32.224605560302734,33.104434967041016,32.18168640136719,32.66809844970703,29.76997756958008,5318132,A
2012-03-28,32.4892692565918,32.5250358581543,31.53791046142578,31.895565032958984,29.06597900390625,4318841,A
2012-03-29,31.54506492614746,31.85264778137207,31.437768936157227,31.802574157714844,28.98124313354492,3199183,A
2012-03-30,32.01716613769531,32.08869934082031,31.473533630371094,31.838340759277344,29.079240798950195,3246715,A
2012-04-02,31.838340759277344,32.26752471923828,31.63090133666992,32.09585189819336,29.31443977355957,3161717,A
2012-04-03,32.00286102294922,32.296138763427734,31.802574157714844,32.067237854003906,29.28829765319824,3852748,A
2012-04-04,31.716737747192383,31.7954216003418,31.008583068847656,31.287553787231445,28.576181411743164,3342338,A
2012-04-05,31.230329513549805,32.17453384399414,31.15879821777344,32.02431869506836,29.24910545349121,6933381,A
2012-04-09,31.566524505615234,31.566524505615234,31.14449119567871,31.15164566040039,28.452054977416992,5182805,A
2012-04-10,31.11587905883789,31.287553787231445,30.007152557373047,30.257511138916016,27.635400772094727,6056695,A
2012-04-11,30.736766815185547,30.801143646240234,30.32904052734375,30.379112243652344,27.746469497680664,3398678,A
2012-04-12,30.48640823364257,31.2446346282959,30.40057182312012,31.137338638305664,28.438989639282227,2185074,A
2012-04-13,30.9084415435791,30.97997093200684,30.1788272857666,30.21459197998047,27.5962028503418,3344156,A
2012-04-16,30.46495056152344,30.565092086791992,29.89985656738281,30.035764694213867,27.43287467956543,3447188,A
2012-04-17,30.32904052734375,30.58655166625977,30.27897071838379,30.50786781311035,27.86406135559082,2901130,A
2012-04-18,30.25035858154297,30.46495056152344,30.0500717163086,30.27181625366211,27.64847183227539,2405399,A
2012-04-19,30.33619499206543,30.46495056152344,29.72818374633789,29.985694885253903,27.387142181396484,3800463,A
2012-04-20,30.164520263671875,30.672388076782227,30.071531295776367,30.11444854736328,27.50473976135254,2782859,A
2012-04-23,29.58512115478516,29.613733291625977,29.01287651062012,29.52074432373047,26.96248245239257,3058824,A
2012-04-24,28.88412094116211,28.9484977722168,28.004291534423828,28.469242095947266,26.00210189819336,10706443,A
2012-04-25,28.82689666748047,29.67095947265625,28.82689666748047,29.45636558532715,26.903684616088867,5110808,A
2012-04-26,29.413448333740234,30.09299087524414,29.39198875427246,30.035764694213867,27.43287467956543,3424121,A
2012-04-27,30.18597984313965,30.52217483520508,29.72818374633789,30.443490982055664,27.80527114868164,4121164,A
2012-04-30,30.407724380493164,30.572246551513672,30.02861213684082,30.171674728393555,27.55701065063477,2605732,A
2012-05-01,30.06437873840332,30.951358795166016,29.89985656738281,30.736766815185547,28.073129653930664,3615508,A
2012-05-02,30.54363441467285,30.829757690429688,30.257511138916016,30.78683853149414,28.118867874145508,3348070,A
2012-05-03,30.865522384643555,30.865522384643555,30.171674728393555,30.19313240051269,27.57659912109375,2398129,A
2012-05-04,30.15021514892578,30.25035858154297,29.29899978637696,29.33476448059082,26.792625427246094,3070288,A
2012-05-07,29.0915584564209,29.39198875427246,28.805435180664062,29.227468490600582,26.694629669189453,3658007,A
2012-05-08,29.077253341674805,29.1273250579834,28.26895523071289,28.805435180664062,26.30916404724121,5999098,A
2012-05-09,28.36909866333008,28.88412094116211,28.254648208618164,28.562231063842773,26.0870304107666,6024961,A
2012-05-10,29.048641204833984,29.256080627441406,28.383405685424805,28.42632293701172,25.96290779113769,3291731,A
2012-05-11,28.27610969543457,28.81974220275879,28.18311882019043,28.218883514404297,25.773441314697266,5398796,A
2012-05-14,27.80400657653809,28.21173095703125,27.49642372131348,27.825464248657227,25.41412353515625,5526574,A
2012-05-15,29.263233184814453,29.735336303710938,28.90557861328125,28.977109909057617,26.465959548950195,9783064,A
2012-05-16,29.0915584564209,29.327611923217773,28.3977108001709,28.44062805175781,25.97597885131836,4976321,A
2012-05-17,29.97138786315918,29.978540420532227,28.34048652648925,28.347639083862305,25.89104080200196,6900248,A
2012-05-18,28.612302780151367,28.776824951171875,27.625179290771484,27.7038631439209,25.303054809570312,7216057,A
2012-05-21,27.77539253234864,28.698139190673828,27.75393486022949,28.60515022277832,26.1262321472168,3890215,A
2012-05-22,28.65522193908692,29.470672607421875,28.34048652648925,28.962804794311523,26.452896118164062,6180139,A
2012-05-23,28.63376235961914,29.341917037963867,28.175966262817383,29.163089752197266,26.635826110839844,4817788,A
2012-05-24,29.21316146850586,29.434907913208008,28.934192657470703,29.341917037963867,26.799156188964844,3591182,A
2012-05-25,29.341917037963867,29.656652450561523,29.177396774291992,29.33476448059082,26.792625427246094,2633552,A
2012-05-29,29.66380500793457,30.22174453735352,29.63519287109375,30.171674728393555,27.55701065063477,5696570,A
2012-05-30,29.78540802001953,29.78540802001953,29.18454933166504,29.57796859741211,27.01474571228028,4297871,A
2012-05-31,29.656652450561523,29.77110290527344,28.805435180664062,29.08440589904785,26.56395721435547,5887258,A
2012-06-01,28.04005622863769,28.21173095703125,27.224607467651367,27.33905601501465,24.969865798950195,7578698,A
2012-06-04,27.43204689025879,27.63233184814453,26.437768936157227,27.06723976135254,24.721603393554688,7212422,A
2012-06-05,26.90271759033203,27.60371971130371,26.75965690612793,27.38912773132324,25.015588760375977,5202517,A
2012-06-06,27.7038631439209,28.44778251647949,27.45350456237793,28.44778251647949,25.98250770568848,5167987,A
2012-06-07,29.00572204589844,29.01287651062012,28.412017822265625,28.583690643310547,26.106639862060547,6334757,A
2012-06-08,28.34048652648925,28.505006790161133,28.204578399658203,28.32617950439453,25.871437072753903,4244608,A
2012-06-11,28.648069381713867,28.7195987701416,27.83977127075196,27.8826904296875,25.466384887695312,2853038,A
2012-06-12,27.854076385498047,28.26895523071289,27.57510757446289,28.233190536499023,25.78651237487793,2518916,A
2012-06-13,28.04005622863769,28.49070167541504,27.768239974975582,27.8969955444336,25.479448318481445,2873449,A
2012-06-14,27.96137237548828,28.36909866333008,27.80400657653809,28.14735221862793,25.70810890197754,3236230,A
2012-06-15,28.376251220703125,28.648069381713867,28.233190536499023,28.61945533752441,26.139299392700195,4036725,A
2012-06-18,28.505006790161133,28.74821281433105,28.226036071777344,28.7195987701416,26.23076820373535,3669610,A
2012-06-19,28.9484977722168,29.556509017944336,28.89127349853516,29.434907913208008,26.88408660888672,4213852,A
2012-06-20,29.45636558532715,29.64949989318848,28.798282623291016,29.07010078430176,26.5508975982666,4499603,A
2012-06-21,29.105865478515625,29.38483428955078,27.918455123901367,27.982833862304688,25.557849884033203,4337854,A
2012-06-22,28.24034309387207,28.30472183227539,27.446352005004883,27.918455123901367,25.49905014038086,5137650,A
2012-06-25,27.49642372131348,27.57510757446289,26.73819732666016,26.93848419189453,24.60400390625,4170793,A
2012-06-26,27.18168830871582,27.360515594482425,26.90987014770508,27.174535751342773,24.81960105895996,3521842,A
2012-06-27,27.49642372131348,27.6680965423584,27.28898429870605,27.43204689025879,25.054800033569336,2155436,A
2012-06-28,27.21745491027832,27.281831741333008,26.59513664245605,26.981401443481445,24.643205642700195,2798097,A
2012-06-29,27.43204689025879,28.111587524414062,27.43204689025879,28.06867027282715,25.70438766479492,3698828,A
2012-07-02,28.27610969543457,28.33333206176757,27.539342880249023,27.832618713378903,25.48822021484375,2429025,A
2012-07-03,27.768239974975582,28.419170379638672,27.768239974975582,28.283262252807617,25.900909423828125,1357039,A
2012-07-05,28.08297538757324,28.49785423278809,27.8969955444336,28.161659240722656,25.78955268859864,2244489,A
2012-07-06,27.75393486022949,27.77539253234864,26.88125991821289,27.160228729248047,24.872472763061523,4664287,A
2012-07-09,27.14592361450196,27.36766815185547,26.752504348754883,26.90987014770508,24.64319610595703,3173460,A
2012-07-10,27.30328941345215,27.60371971130371,26.54506492614746,26.81688117980957,24.55804252624512,3077837,A
2012-07-11,26.78826904296875,26.90987014770508,26.33762550354004,26.6022891998291,24.361528396606445,2699258,A
2012-07-12,26.38769721984864,26.402002334594727,25.92989921569824,26.12303352355957,23.922632217407227,4050146,A
2012-07-13,26.14449119567871,26.781116485595703,26.008583068847656,26.494993209838867,24.26327514648437,4727477,A
2012-07-16,26.33762550354004,26.53075790405273,26.165950775146484,26.34477806091309,24.125707626342773,2448457,A
2012-07-17,26.380544662475582,26.75965690612793,26.108726501464844,26.709585189819336,24.45978736877441,2887569,A
2012-07-18,26.559371948242188,27.74678039550781,26.559371948242188,27.43919944763184,25.127944946289062,3921250,A
2012-07-19,27.2961368560791,27.61087226867676,27.153076171875,27.510730743408203,25.193449020385746,2968513,A
2012-07-20,27.3319034576416,27.3319034576416,26.781116485595703,26.866952896118164,24.60389709472656,2571761,A
2012-07-23,26.33762550354004,26.36623764038086,25.94420623779297,26.2446346282959,24.033994674682617,3074202,A
2012-07-24,26.18025779724121,26.230329513549805,25.264663696289062,25.472103118896484,23.32654571533203,5394183,A
2012-07-25,25.69384765625,26.137338638305664,25.57939910888672,25.851215362548828,23.67371368408203,2485924,A
2012-07-26,26.4234619140625,26.824033737182617,26.03719520568848,26.18741035461425,23.981597900390625,4271449,A
2012-07-27,26.35908317565918,27.281831741333008,26.2446346282959,27.13876914978028,24.85282516479492,4033789,A
2012-07-30,27.12446403503418,27.39628028869629,26.959943771362305,27.310443878173828,25.010034561157227,4587257,A
2012-07-31,27.2031478881836,27.68955612182617,27.19599342346192,27.38912773132324,25.08208465576172,3054350,A
2012-08-01,27.7038631439209,27.7038631439209,27.12446403503418,27.310443878173828,25.010034561157227,2653963,A
2012-08-02,27.110157012939453,27.34620857238769,26.50214576721192,27.00286102294922,24.72835922241211,3109432,A
2012-08-03,27.56795310974121,28.24034309387207,27.54649543762207,27.975679397583008,25.61923599243164,2551210,A
2012-08-06,28.419170379638672,28.54077339172364,28.04005622863769,28.06151580810547,25.697843551635746,2807044,A
2012-08-07,28.14735221862793,29.020029067993164,28.075822830200195,28.79113006591797,26.36600112915039,3077417,A
2012-08-08,28.81974220275879,29.14163017272949,28.69098663330078,29.08440589904785,26.63456916809082,2704571,A
2012-08-09,29.01287651062012,29.30615234375,28.927038192749023,29.18454933166504,26.72627830505371,3063298,A
2012-08-10,28.919885635375977,29.00572204589844,28.49070167541504,28.991416931152344,26.54941749572754,2739521,A
2012-08-13,28.805435180664062,29.113019943237305,28.7195987701416,28.88412094116211,26.45116233825684,2601398,A
2012-08-14,29.05579376220703,29.29184532165528,28.79113006591797,28.962804794311523,26.523212432861328,2788171,A
2012-08-15,28.84835433959961,29.22031593322754,28.469242095947266,28.955650329589844,26.516658782958984,3967943,A
2012-08-16,26.824033737182617,27.30328941345215,26.29470634460449,26.57367706298828,24.3353271484375,17888948,A
2012-08-17,26.63090133666992,26.67382049560547,26.330472946166992,26.623748779296875,24.381179809570312,7518025,A
2012-08-20,26.48068618774414,26.59513664245605,26.14449119567871,26.23748207092285,24.02745246887207,5554254,A
2012-08-21,26.39484977722168,26.616594314575195,26.223175048828125,26.559371948242188,24.32222366333008,7515508,A
2012-08-22,26.50214576721192,26.809728622436523,26.316165924072266,26.7954216003418,24.538389205932617,6128273,A
2012-08-23,26.63090133666992,26.866952896118164,26.51645278930664,26.802574157714844,24.54493904113769,6280096,A
2012-08-24,26.65236091613769,27.188840866088867,26.60944175720215,27.074392318725582,24.79386138916016,4022465,A
2012-08-27,27.05293273925781,27.05293273925781,26.67382049560547,26.781116485595703,24.525293350219727,4275224,A
2012-08-28,26.73819732666016,26.7954216003418,26.39484977722168,26.430614471435547,24.204309463500977,6934919,A
2012-08-29,26.51645278930664,26.68812561035156,26.416309356689453,26.580829620361328,24.34187698364257,7025509,A
2012-08-30,26.437768936157227,26.63090133666992,26.402002334594727,26.494993209838867,24.26327514648437,3380224,A
2012-08-31,26.70243263244629,26.824033737182617,26.36623764038086,26.580829620361328,24.34187698364257,3210367,A
2012-09-04,26.44492149353028,26.802574157714844,26.258941650390625,26.50214576721192,24.26981544494629,5382300,A
2012-09-05,26.50929832458496,26.60944175720215,26.194564819335938,26.2804012298584,24.06675910949707,5695033,A
2012-09-06,26.54506492614746,26.85264778137207,26.258941650390625,26.809728622436523,24.551496505737305,6688591,A
2012-09-07,26.809728622436523,27.596567153930664,26.659513473510746,27.48211669921875,25.167240142822266,5579837,A
2012-09-10,27.410587310791016,27.7038631439209,27.21030044555664,27.36766815185547,25.062435150146484,4021627,A
2012-09-11,27.353361129760746,27.38197326660156,27.06008529663086,27.06008529663086,24.780765533447266,4093903,A
2012-09-12,27.12446403503418,27.33905601501465,26.81688117980957,26.81688117980957,24.55804252624512,6568922,A
2012-09-13,26.7954216003418,27.525035858154297,26.59513664245605,27.45350456237793,25.141048431396484,7529908,A
2012-09-14,27.49642372131348,28.712446212768555,27.467811584472656,28.419170379638672,26.025371551513672,9415670,A
2012-09-17,28.226036071777344,28.48354721069336,28.06867027282715,28.347639083862305,25.959857940673828,5097807,A
2012-09-18,28.29756736755371,28.51215934753418,28.218883514404297,28.290414810180664,25.907459259033203,5024272,A
2012-09-19,28.27610969543457,28.61945533752441,28.15450668334961,28.526466369628903,26.12363052368164,4122422,A
