Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,61.0,61.0,61.0,61.0,61.0,0
2016-01-04,61.0,61.0,61.0,61.0,61.0,0
2016-01-05,59.0,61.0,59.0,59.0,59.0,900
2016-01-06,59.0,59.0,59.0,59.0,59.0,0
2016-01-07,55.5,59.0,55.0,55.5,55.5,3200
2016-01-08,55.0,59.0,52.5,55.0,55.0,20300
2016-01-11,57.5,58.0,55.0,57.5,57.5,1200
2016-01-12,58.0,58.0,58.0,58.0,58.0,900
2016-01-13,58.0,58.0,58.0,58.0,58.0,0
2016-01-14,62.0,63.5,60.0,62.0,62.0,39500
2016-01-15,63.0,63.0,63.0,63.0,63.0,100
2016-01-19,57.0,57.0,57.0,57.0,57.0,0
2016-01-20,56.0,56.5,56.0,56.0,56.0,3100
2016-01-21,56.0,56.0,56.0,56.0,56.0,0
2016-01-22,58.5,60.0,57.5,58.5,58.5,200
2016-01-25,60.0,60.0,60.0,60.0,60.0,800
2016-01-26,60.0,60.0,60.0,60.0,60.0,0
2016-01-27,59.5,63.5,58.5,59.5,59.5,7200
2016-01-29,56.5,56.5,56.5,56.5,56.5,200
2016-02-01,56.5,56.5,56.5,56.5,56.5,0
2016-02-02,57.0,57.0,57.0,57.0,57.0,3200
2016-02-03,57.0,57.0,57.0,57.0,57.0,0
2016-02-04,57.5,57.5,57.5,57.5,57.5,500
2016-02-05,57.5,57.5,57.5,57.5,57.5,0
2016-02-08,60.0,60.0,60.0,60.0,60.0,100
2016-02-09,60.0,60.0,60.0,60.0,60.0,0
2016-02-10,60.0,60.0,60.0,60.0,60.0,0
2016-02-11,58.0,58.0,58.0,58.0,58.0,200
2016-02-12,58.0,58.0,58.0,58.0,58.0,0
2016-02-16,60.0,60.0,60.0,60.0,60.0,100
2016-02-17,60.0,60.0,60.0,60.0,60.0,0
2016-02-18,60.0,60.0,60.0,60.0,60.0,0
2016-02-19,63.0,63.0,63.0,63.0,63.0,100
2016-02-22,63.5,63.5,63.5,63.5,63.5,4000
2016-02-23,60.0,60.0,60.0,60.0,60.0,200
2016-02-24,60.0,60.0,60.0,60.0,60.0,0
2016-02-26,57.5,57.5,57.5,57.5,57.5,100
2016-02-29,57.5,57.5,57.5,57.5,57.5,0
2016-03-01,56.5,57.0,56.5,56.5,56.5,1300
2016-03-02,56.0,57.5,56.0,56.0,56.0,7000
2016-03-03,56.0,56.0,56.0,56.0,56.0,0
2016-03-04,58.0,58.0,58.0,58.0,58.0,300
2016-03-07,62.0,63.0,62.0,62.0,62.0,4100
2016-03-08,62.0,62.0,62.0,62.0,62.0,100
2016-03-09,58.5,58.5,58.5,58.5,58.5,1900
2016-03-10,59.0,59.0,59.0,59.0,59.0,1500
2016-03-11,59.0,59.0,59.0,59.0,59.0,0
2016-03-14,57.0,59.0,57.0,57.0,57.0,2700
2016-03-15,56.5,57.0,56.5,56.5,56.5,700
2016-03-16,56.5,57.0,56.5,56.5,56.5,3300
2016-03-17,62.0,62.0,62.0,62.0,62.0,100
2016-03-18,56.0,56.5,56.0,56.0,56.0,3300
2016-03-21,58.0,58.0,58.0,58.0,58.0,600
2016-03-22,58.0,58.0,58.0,58.0,58.0,1300
2016-03-23,58.0,58.0,58.0,58.0,58.0,0
2016-03-24,58.0,58.0,58.0,58.0,58.0,0
2016-03-28,58.0,58.0,58.0,58.0,58.0,0
2016-03-30,58.0,58.0,58.0,58.0,58.0,0
2016-04-01,62.0,62.0,62.0,62.0,62.0,100
2016-04-04,62.0,62.0,62.0,62.0,62.0,100
2016-04-05,56.5,57.0,56.0,56.5,56.5,3400
2016-04-06,56.0,56.0,56.0,56.0,56.0,4200
2016-04-07,56.0,56.0,56.0,56.0,56.0,0
2016-04-08,56.0,56.0,56.0,56.0,56.0,0
2016-04-11,56.0,56.0,56.0,56.0,56.0,0
2016-04-12,56.0,56.0,56.0,56.0,56.0,3500
2016-04-13,56.0,56.0,56.0,56.0,56.0,0
2016-04-14,56.0,56.0,56.0,56.0,56.0,0
2016-04-15,56.0,56.0,56.0,56.0,56.0,100
2016-04-18,53.0,54.0,53.0,53.0,53.0,4200
2016-04-19,53.0,53.0,53.0,53.0,53.0,0
2016-04-20,50.0,52.0,50.0,50.0,50.0,2500
2016-04-21,50.0,50.0,50.0,50.0,50.0,1000
2016-04-22,50.0,50.5,50.0,50.0,50.0,5000
2016-04-25,50.0,50.0,50.0,50.0,50.0,2700
2016-04-26,50.0,50.0,50.0,50.0,50.0,0
2016-04-27,50.0,50.0,50.0,50.0,50.0,0
2016-04-28,54.5,54.5,54.5,54.5,54.5,100
2016-04-29,50.0,50.0,50.0,50.0,50.0,1000
2016-05-02,50.0,50.0,50.0,50.0,50.0,0
2016-05-03,51.5,53.0,45.0,51.5,51.5,6600
2016-05-04,55.0,56.5,54.0,55.0,55.0,2900
2016-05-05,55.0,55.0,55.0,55.0,55.0,0
2016-05-06,55.0,55.0,55.0,55.0,55.0,0
2016-05-09,56.0,56.0,56.0,56.0,56.0,1100
2016-05-10,57.5,58.0,55.0,57.5,57.5,8900
2016-05-11,57.5,57.5,57.5,57.5,57.5,0
2016-05-12,56.0,56.0,56.0,56.0,56.0,400
2016-05-13,56.0,56.0,56.0,56.0,56.0,1700
2016-05-16,58.0,58.0,58.0,58.0,58.0,5000
2016-05-17,58.0,58.0,58.0,58.0,58.0,25500
2016-05-19,58.0,58.0,58.0,58.0,58.0,0
2016-05-20,54.0,54.0,54.0,54.0,54.0,500
2016-05-23,54.0,54.0,54.0,54.0,54.0,0
2016-05-24,54.0,54.0,54.0,54.0,54.0,100
2016-05-25,54.0,54.0,54.0,54.0,54.0,0
2016-05-26,51.0,54.0,50.0,51.0,51.0,4500
2016-05-27,51.0,51.0,51.0,51.0,51.0,0
2016-05-31,52.0,52.0,52.0,52.0,52.0,100
2016-06-01,52.0,52.0,52.0,52.0,52.0,0
2016-06-02,52.0,52.0,52.0,52.0,52.0,0
2016-06-03,52.0,52.0,52.0,52.0,52.0,100
2016-06-06,52.0,52.0,52.0,52.0,52.0,100
2016-06-07,52.0,52.0,52.0,52.0,52.0,0
2016-06-08,48.0,48.0,48.0,48.0,48.0,1900
2016-06-09,50.5,52.0,50.0,50.5,50.5,700
2016-06-10,54.5,54.5,54.5,54.5,54.5,100
2016-06-13,52.0,52.0,52.0,52.0,52.0,200
