Date,Open,High,Low,Close,Adj Close,Volume,stock_name
2012-01-03,7.78000020980835,8.239999771118164,7.699999809265137,8.210000038146973,8.210000038146973,82500,FARM
2012-01-04,8.210000038146973,8.210000038146973,7.96999979019165,8.050000190734863,8.050000190734863,43400,FARM
2012-01-05,8.010000228881836,8.010000228881836,7.670000076293945,7.940000057220459,7.940000057220459,31100,FARM
2012-01-06,7.920000076293945,7.960000038146973,7.760000228881836,7.860000133514404,7.860000133514404,34900,FARM
2012-01-09,7.699999809265137,8.140000343322754,7.679999828338623,8.119999885559082,8.119999885559082,41200,FARM
2012-01-10,8.199999809265137,8.479999542236328,7.929999828338623,8.109999656677246,8.109999656677246,58200,FARM
2012-01-11,8.100000381469727,8.229999542236328,7.960000038146973,8.170000076293945,8.170000076293945,21000,FARM
2012-01-12,8.170000076293945,9.119999885559082,8.170000076293945,9.100000381469728,9.100000381469728,99100,FARM
2012-01-13,8.970000267028809,9.460000038146973,8.760000228881836,8.949999809265137,8.949999809265137,63100,FARM
2012-01-17,9.0,9.149999618530272,8.829999923706055,8.869999885559082,8.869999885559082,73700,FARM
2012-01-18,8.90999984741211,8.979999542236328,8.859999656677246,8.979999542236328,8.979999542236328,44900,FARM
2012-01-19,8.979999542236328,9.880000114440918,8.949999809265137,9.630000114440918,9.630000114440918,70900,FARM
2012-01-20,9.630000114440918,9.9399995803833,9.539999961853027,9.829999923706056,9.829999923706056,69800,FARM
2012-01-23,9.84000015258789,9.979999542236328,9.59000015258789,9.899999618530272,9.899999618530272,34700,FARM
2012-01-24,9.81999969482422,9.949999809265137,9.239999771118164,9.829999923706056,9.829999923706056,28900,FARM
2012-01-25,9.789999961853027,10.029999732971191,9.760000228881836,9.920000076293944,9.920000076293944,43500,FARM
2012-01-26,10.15999984741211,10.15999984741211,9.81999969482422,9.920000076293944,9.920000076293944,39800,FARM
2012-01-27,9.93000030517578,10.100000381469728,9.93000030517578,10.06999969482422,10.06999969482422,49400,FARM
2012-01-30,10.050000190734863,10.15999984741211,9.970000267028809,10.010000228881836,10.010000228881836,66900,FARM
2012-01-31,10.0600004196167,10.4399995803833,9.9399995803833,9.979999542236328,9.979999542236328,62000,FARM
2012-02-01,10.039999961853027,10.220000267028809,10.039999961853027,10.170000076293944,10.170000076293944,58600,FARM
2012-02-02,10.239999771118164,10.31999969482422,10.199999809265137,10.289999961853027,10.289999961853027,50500,FARM
2012-02-03,10.420000076293944,10.970000267028809,10.25,10.850000381469728,10.850000381469728,129600,FARM
2012-02-06,10.84000015258789,10.949999809265137,10.300000190734863,10.550000190734863,10.550000190734863,52600,FARM
2012-02-07,10.579999923706056,10.6899995803833,10.300000190734863,10.5600004196167,10.5600004196167,87000,FARM
2012-02-08,10.630000114440918,10.630000114440918,10.300000190734863,10.449999809265137,10.449999809265137,92200,FARM
2012-02-09,9.25,10.649999618530272,7.880000114440918,10.4399995803833,10.4399995803833,176000,FARM
2012-02-10,10.220000267028809,10.649999618530272,10.0,10.289999961853027,10.289999961853027,56100,FARM
2012-02-13,10.420000076293944,10.960000038146973,10.40999984741211,10.81999969482422,10.81999969482422,62500,FARM
2012-02-14,10.899999618530272,11.529999732971191,10.84000015258789,11.399999618530272,11.399999618530272,121400,FARM
2012-02-15,11.43000030517578,11.800000190734863,11.399999618530272,11.65999984741211,11.65999984741211,100100,FARM
2012-02-16,11.84000015258789,12.119999885559082,11.079999923706056,12.029999732971191,12.029999732971191,110300,FARM
2012-02-17,12.109999656677246,12.25,11.960000038146973,12.06999969482422,12.06999969482422,51100,FARM
2012-02-21,12.100000381469728,12.170000076293944,11.710000038146973,11.720000267028809,11.720000267028809,40900,FARM
2012-02-22,11.579999923706056,11.68000030517578,11.170000076293944,11.3100004196167,11.3100004196167,83900,FARM
2012-02-23,11.3100004196167,11.81999969482422,11.25,11.8100004196167,11.8100004196167,46400,FARM
2012-02-24,11.859999656677246,11.869999885559082,11.380000114440918,11.420000076293944,11.420000076293944,52500,FARM
2012-02-27,11.380000114440918,11.81999969482422,11.149999618530272,11.65999984741211,11.65999984741211,67900,FARM
2012-02-28,11.670000076293944,11.9399995803833,11.460000038146973,11.699999809265137,11.699999809265137,47300,FARM
2012-02-29,11.729999542236328,11.869999885559082,11.06999969482422,11.06999969482422,11.06999969482422,109000,FARM
2012-03-01,11.09000015258789,11.550000190734863,11.09000015258789,11.300000190734863,11.300000190734863,36000,FARM
2012-03-02,11.350000381469728,11.489999771118164,11.0,11.0600004196167,11.0600004196167,49900,FARM
2012-03-05,11.149999618530272,11.489999771118164,10.949999809265137,11.06999969482422,11.06999969482422,44800,FARM
2012-03-06,11.020000457763672,11.020000457763672,10.4399995803833,10.829999923706056,10.829999923706056,64900,FARM
2012-03-07,10.380000114440918,11.149999618530272,10.380000114440918,11.079999923706056,11.079999923706056,46900,FARM
2012-03-08,11.18000030517578,11.579999923706056,10.90999984741211,11.279999732971191,11.279999732971191,58600,FARM
2012-03-09,11.270000457763672,11.43000030517578,10.869999885559082,11.210000038146973,11.210000038146973,64000,FARM
2012-03-12,11.09000015258789,11.539999961853027,11.020000457763672,11.15999984741211,11.15999984741211,40500,FARM
2012-03-13,11.199999809265137,11.199999809265137,10.880000114440918,11.109999656677246,11.109999656677246,55900,FARM
2012-03-14,11.039999961853027,11.239999771118164,10.81999969482422,11.010000228881836,11.010000228881836,19200,FARM
2012-03-15,11.010000228881836,11.15999984741211,10.859999656677246,11.050000190734863,11.050000190734863,26600,FARM
2012-03-16,11.06999969482422,11.369999885559082,10.710000038146973,10.829999923706056,10.829999923706056,41900,FARM
2012-03-19,10.770000457763672,12.130000114440918,10.770000457763672,11.869999885559082,11.869999885559082,80200,FARM
2012-03-20,11.760000228881836,12.020000457763672,11.68000030517578,11.789999961853027,11.789999961853027,29500,FARM
2012-03-21,11.739999771118164,11.880000114440918,11.649999618530272,11.6899995803833,11.6899995803833,21400,FARM
2012-03-22,11.539999961853027,11.550000190734863,11.31999969482422,11.479999542236328,11.479999542236328,20800,FARM
2012-03-23,11.65999984741211,11.920000076293944,11.65999984741211,11.829999923706056,11.829999923706056,13100,FARM
2012-03-26,11.949999809265137,12.010000228881836,11.81999969482422,11.960000038146973,11.960000038146973,18400,FARM
2012-03-27,12.020000457763672,12.170000076293944,11.899999618530272,11.899999618530272,11.899999618530272,27300,FARM
2012-03-28,11.960000038146973,12.0,11.3100004196167,11.399999618530272,11.399999618530272,99600,FARM
2012-03-29,11.359999656677246,11.359999656677246,10.989999771118164,11.140000343322754,11.140000343322754,332600,FARM
2012-03-30,11.260000228881836,11.260000228881836,10.880000114440918,10.890000343322754,10.890000343322754,33900,FARM
2012-04-02,10.869999885559082,10.920000076293944,10.579999923706056,10.75,10.75,112100,FARM
2012-04-03,10.75,10.760000228881836,10.06999969482422,10.220000267028809,10.220000267028809,69400,FARM
2012-04-04,10.109999656677246,10.25,9.640000343322754,9.869999885559082,9.869999885559082,136300,FARM
2012-04-05,9.779999732971191,9.779999732971191,9.5,9.699999809265137,9.699999809265137,45800,FARM
2012-04-09,9.5,9.619999885559082,9.399999618530272,9.5600004196167,9.5600004196167,41200,FARM
2012-04-10,9.520000457763672,9.59000015258789,9.15999984741211,9.3100004196167,9.3100004196167,55400,FARM
2012-04-11,9.420000076293944,9.529999732971191,9.34000015258789,9.420000076293944,9.420000076293944,23800,FARM
2012-04-12,9.390000343322754,9.5,9.199999809265137,9.289999961853027,9.289999961853027,35700,FARM
2012-04-13,9.25,9.25,9.079999923706056,9.09000015258789,9.09000015258789,17700,FARM
2012-04-16,9.100000381469728,9.289999961853027,9.0,9.010000228881836,9.010000228881836,32400,FARM
2012-04-17,9.119999885559082,9.270000457763672,9.050000190734863,9.15999984741211,9.15999984741211,31000,FARM
2012-04-18,9.140000343322754,9.15999984741211,8.800000190734863,8.920000076293945,8.920000076293945,60400,FARM
2012-04-19,8.930000305175781,9.119999885559082,8.829999923706055,8.960000038146973,8.960000038146973,36600,FARM
2012-04-20,9.079999923706056,9.079999923706056,8.90999984741211,8.960000038146973,8.960000038146973,21200,FARM
2012-04-23,8.899999618530273,9.1899995803833,8.770000457763672,8.859999656677246,8.859999656677246,52400,FARM
2012-04-24,8.829999923706055,9.010000228881836,8.789999961853027,9.010000228881836,9.010000228881836,19600,FARM
2012-04-25,9.15999984741211,9.15999984741211,8.930000305175781,8.979999542236328,8.979999542236328,30800,FARM
